symbol,market,trade_date,close,weekly_rsi,monthly_rsi,resonance,rsi_14,frac_balance_10,frac_balance_20,atr_ratio,fusion_score
300896.SZ,CSI300,2026-04-16,115.78,25.712513305655747,8.50374570209317,0.75,37.27039659615487,0.0,0.0,0.0266377429851793,-0.5710862826646629
300979.SZ,CSI300,2026-04-16,43.25,18.669694689317154,11.503257003169054,0.75,38.9367648799793,0.0,0.0,0.0222004707754834,-0.6247725680501842
300999.SZ,CSI300,2026-04-16,28.57,37.85249466660868,22.497368605305468,0.25,46.740576958127946,0.0,0.0,0.0222924911702148,-0.23748011565182578
301236.SZ,CSI300,2026-04-16,39.9,31.149378334926567,15.822948489085476,0.25,47.307510396112846,0.0,0.0,0.0332190384743064,-0.32483753229483314
301269.SZ,CSI300,2026-04-16,85.12,29.492571545302013,20.171688289115053,0.75,44.27978565484934,0.0,0.0,0.0279297116589016,-0.4723929913192304
302132.SZ,CSI300,2026-04-16,68.93,25.269687294571355,16.526964428702243,0.75,45.94977216996648,0.0,0.0,0.0268568451929755,-0.5215560182758306
600000.SH,CSI300,2026-04-16,10.0,41.81942349218884,14.29580287811089,0.25,46.9467912541399,0.0,0.0,0.0178624373761947,-0.22652462756453726
600009.SH,CSI300,2026-04-16,27.43,10.714443866124341,16.464871574117836,0.75,37.43167578714969,0.0,0.0,0.0148200511074455,-0.6900399305462064
600010.SH,CSI300,2026-04-16,2.88,63.08941983467923,84.34521703720524,-0.25,56.79900945392616,0.0,0.0,0.0441667962969891,0.3932311764951425
600011.SH,CSI300,2026-04-16,6.99,38.8478487774451,34.80753059194046,0.0,43.45347984097659,0.0,0.0,0.0245264372678819,-0.12590162208528222
600015.SH,CSI300,2026-04-16,7.21,59.76956231784996,70.80213223867133,-0.25,51.854551940552994,0.0,0.0,0.017427988083801,0.29868112562721405
600016.SH,CSI300,2026-04-16,3.72,29.951527130300605,19.381105696690085,0.75,41.90375197550098,0.0,0.0,0.0136184901309553,-0.47773714217181995
600018.SH,CSI300,2026-04-16,4.98,22.04221252265266,18.175177940987894,0.75,41.89302088579579,0.0,0.0,0.0135870962724136,-0.5595931060694755
600019.SH,CSI300,2026-04-16,6.36,13.333752619845953,14.747972231122077,0.75,38.43294356445401,0.0,0.0,0.0191923848532116,-0.6673310491749583
600023.SH,CSI300,2026-04-16,5.54,75.16897666817323,81.4904780328942,-0.75,56.680351374370645,0.0,0.0,0.0215075658487286,0.638889326683095
600025.SH,CSI300,2026-04-16,9.56,34.87684982627309,47.658056028037855,0.0,40.5520452874468,0.0,0.0,0.0185645919681597,-0.12873587686092863
600026.SH,CSI300,2026-04-16,21.99,43.40719048723868,69.9435995389864,0.0,44.362396270979964,0.0,0.0,0.075050925083932,0.04403943272712714
600027.SH,CSI300,2026-04-16,4.66,31.701567661713256,26.32324899532584,0.25,39.22284084377315,0.0,0.0,0.0231246784718338,-0.3069467070352515
600028.SH,CSI300,2026-04-16,5.66,24.434718750344757,31.92113954310834,0.5,32.98421807185677,0.0,0.0,0.0254779597150694,-0.4460784733049487
600029.SH,CSI300,2026-04-16,5.76,21.204297305352227,24.80516011275499,0.75,41.718078603077245,0.0,0.0,0.0381830705145982,-0.5452263852929403
