symbol,name,trade_date,close,fusion_score,frac_balance_20,top_count_20,fractal_top_5,frac_balance_10,fractal_bottom_5,fractal_top_10,fractal_bottom_10,top_count_10,bottom_count_20,bottom_count_10,bull_divergence,resonance,td9_count,macd_cross_up,td9_extreme,entropy_60,hurst_60,apen_20,apen_60,bb_ratio,atr_ratio,mom_5d,mom_10d,rsi_14,macd,vol_ratio
00700.HK,腾讯控股,2026-04-17,506.0,-0.03125530107346728,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,3,-1,0,0,,,,,0.5533665495225608,2.8670242800677577,0.0029732408325073,0.0454545454545454,50.20475020417455,-7.488635183027668,0.2763066041945924
00388.HK,香港交易所,2026-04-17,406.4,-0.03238333819281274,0.25,1.0,0,-0.5,0,0,0,1.0,2.0,0.0,0,0,-2,0,0,,,,,0.6763799284851834,2.133717660292461,-0.0048971596474045,0.0458054554812144,55.440414506766615,1.813149814377141,0.3333479334606561
02126.HK,药明巨诺-B,2026-04-17,2.39,-0.035322509515769956,0.0,1.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,-1,0,0,,,,,0.8597917290141996,5.947399880454272,0.0482456140350877,0.2447916666666667,68.90756294414237,0.0812919223025891,0.617932861197955
03888.HK,金山软件,2026-04-17,24.24,-0.04343305461133917,0.0,1.0,0,0.0,0,0,0,0.0,1.0,0.0,0,3,-1,0,0,,,,,0.7556538889493767,4.467232437529469,0.0548302872062662,0.0782918149466191,57.04989153146745,-0.4039177905643569,0.3402087652428535
00135.HK,昆仑能源,2026-04-17,7.42,-0.05247757631042788,0.0,1.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,3,-1,1,0,,,,,0.3845727300843974,2.435502502887946,0.0027027027027026,0.036312849162011,41.96428566183036,-0.2071769933733929,0.6804468412649745
01928.HK,金沙中国有限公司,2026-04-17,17.35,-0.05614095801261498,0.0,2.0,0,-0.5,0,0,0,1.0,2.0,0.0,0,0,-1,0,0,,,,,0.7657871520591008,2.696582955948953,0.0081348053457293,0.0521528198908431,52.8089887432774,-0.0197062495266173,0.2197719056055163
02638.HK,港灯-SS,2026-04-17,6.4,-0.06702390191481973,0.25,1.0,0,-0.5,0,0,0,1.0,2.0,0.0,0,3,-2,0,0,,,,,0.3208806049963114,1.25,-0.0077519379844961,-0.0092879256965943,46.93877537609337,-0.088894817536155,0.3564554869609605
02314.HK,理文造纸,2026-04-17,3.29,-0.07814638144918631,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,-2,0,0,,,,,0.0453519287707775,3.755970473295699,-0.0351906158357772,-0.0463768115942029,32.63157889927976,-0.0835689345573835,0.4352069731332392
06160.HK,百济神州,2026-04-17,191.5,-0.08170486207661962,0.0,1.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,0,-1,0,0,,,,,0.7925855053179867,3.480044759418128,0.0126916975145425,0.1159673659673659,72.08029196896143,2.279045809177461,0.5958598780763213
09999.HK,网易-S,2026-04-17,182.1,-0.09216081181199227,0.0,1.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,3,-1,0,0,,,,,0.7376312664925985,2.961481132815565,0.0207399103139012,0.0680351906158358,57.07317072975847,-0.7998414854908447,0.3269119479431098
01797.HK,东方甄选,2026-04-17,27.88,-0.10122168567527703,0.0,1.0,0,-0.5,0,0,0,1.0,1.0,0.0,0,0,-2,0,0,,,,,0.5087547221839316,6.533101045296169,-0.0681818181818182,0.0265095729013253,56.52173912355387,0.7246216251311459,0.3005251052712436
09863.HK,零跑汽车,2026-04-17,56.65,-0.10402920289150279,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-1,0,0,,,,,0.8343219822493035,4.38280166435506,0.0328167730173198,0.2048064653339003,79.9119427566386,3.320238078419507,0.3959228427479965
